製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
310,0.0661,0.9704,0.1992,-1.3174,,0.0661
311,0.0489,0.9575,0.1992,-1.3174,,0.0489
312,0.04,0.9704,0.2121,-1.3045,,0.04
313,0.0074,0.9961,0.2249,-1.3045,,0.0074
314,-0.0475,1.0089,0.2378,-1.3045,,0.0475
315,-0.1187,1.0089,0.2249,-1.2788,,0.1187
316,-0.1537,1.0346,0.2378,-1.2917,,0.1537
317,-0.1375,1.0475,0.2249,-1.2788,,0.1375
318,-0.1907,1.0603,0.2378,-1.2403,,0.1907
319,-0.1863,1.0475,0.2249,-1.2403,,0.1863
320,-0.1395,1.0475,0.2378,-1.1889,,0.1395
321,-0.1332,1.0475,0.2249,-1.176,,0.1332
322,-0.1009,1.0603,0.2121,-1.1503,,0.1009
323,-0.0481,1.0732,0.2121,-1.1246,,0.0481
324,0.0041,1.086,0.1992,-1.1118,,0.0041
325,0.0434,1.0732,0.1864,-1.086,,0.0434
326,0.1211,1.0732,0.1735,-1.0475,,0.1211
327,0.1436,1.0732,0.1864,-1.0603,,0.1436
328,0.1198,1.0732,0.1735,-1.0089,,0.1198
329,0.0457,1.086,0.1735,-0.9961,,0.0457
330,-0.0589,1.086,0.1607,-0.9961,,0.0589
331,-0.0281,1.0732,0.1478,-0.9832,,0.0281
332,0.1757,1.086,0.135,-1.0089,,0.1757
333,0.2343,1.0989,0.1221,-1.0346,,0.2343
334,0.1033,1.1246,0.1221,-1.0603,,0.1033
335,-0.0357,1.1118,0.1221,-1.086,,0.0357
336,-0.0237,1.1118,0.1092,-1.1118,,0.0237
337,-0.0464,1.1246,0.1092,-1.1375,,0.0464
338,-0.1576,1.1503,0.0964,-1.1632,,0.1576
339,-0.1936,1.1375,0.0835,-1.2017,,0.1936
340,-0.1001,1.1632,0.0964,-1.2017,,0.1001
341,-0.0012,1.1632,0.0964,-1.2146,,0.0012
342,0.1258,1.1632,0.1092,-1.2017,,0.1258
343,0.2074,1.1503,0.1221,-1.1889,,0.2074
344,0.1335,1.1503,0.1221,-1.1632,,0.1335
345,0.0009,1.176,0.1221,-1.1503,,0.0009
346,-0.0435,1.1632,0.1221,-1.1375,,0.0435
347,-0.066,1.1632,0.1478,-1.0989,,0.066
348,-0.0832,1.1889,0.135,-1.1118,,0.0832
349,-0.0957,1.2017,0.1607,-1.086,,0.0957
350,-0.1167,1.1632,0.1607,-1.0732,,0.1167
351,-0.1292,1.176,0.1735,-1.086,,0.1292
352,-0.1053,1.176,0.1864,-1.1118,,0.1053
353,-0.1076,1.176,0.1864,-1.0732,,0.1076
354,-0.0204,1.1889,0.1992,-1.0989,,0.0204
355,0.051,1.176,0.2121,-1.0989,,0.051
356,0.0819,1.1889,0.2121,-1.1118,,0.0819
357,0.1323,1.1889,0.2121,-1.0989,,0.1323
358,0.2045,1.176,0.2121,-1.1118,,0.2045
359,0.2282,1.176,0.2249,-1.0989,,0.2282
360,0.2712,1.1632,0.2121,-1.086,,0.2712
361,0.2079,1.1632,0.2121,-1.086,,0.2079
